Model parameters: 32,557,208
Starting training...
Starting training...
Epoch 10, Batch 90/164, Loss: 0.1349
Epoch 10, Batch 100/164, Loss: 0.0572
Epoch 10, Batch 110/164, Loss: 0.1430
Epoch 10, Batch 120/164, Loss: 0.4451
Epoch 10, Batch 130/164, Loss: 0.3633
Epoch 10, Batch 140/164, Loss: 0.1060
Epoch 10, Batch 150/164, Loss: 0.3826
Epoch 10, Batch 160/164, Loss: 0.0810
Epoch 10/20 | Train Loss: 0.2103 Acc: 0.9351 | Val Loss: 0.3164 Acc: 0.8932 | LR: 0.000050 | Time: 60.3s
Epoch 11, Batch 0/164, Loss: 0.0173
Epoch 11, Batch 10/164, Loss: 0.1534
Epoch 11, Batch 20/164, Loss: 0.0766
Epoch 11, Batch 30/164, Loss: 0.1694
Epoch 11, Batch 40/164, Loss: 0.1060
Epoch 11, Batch 50/164, Loss: 0.0424
Epoch 11, Batch 60/164, Loss: 0.1367
Epoch 11, Batch 70/164, Loss: 0.0485
Epoch 11, Batch 80/164, Loss: 0.4087
Epoch 11, Batch 90/164, Loss: 0.5405
Epoch 11, Batch 100/164, Loss: 0.0575
Epoch 11, Batch 110/164, Loss: 0.1831
Epoch 11, Batch 120/164, Loss: 0.1082
Epoch 11, Batch 130/164, Loss: 0.0450
Epoch 11, Batch 140/164, Loss: 0.0377
Epoch 11, Batch 150/164, Loss: 0.0957
Epoch 11, Batch 160/164, Loss: 0.2333
Epoch 11/20 | Train Loss: 0.1769 Acc: 0.9435 | Val Loss: 0.3112 Acc: 0.9021 | LR: 0.000050 | Time: 60.4s
Epoch 12, Batch 0/164, Loss: 0.3496
Epoch 12, Batch 10/164, Loss: 0.0781
Epoch 12, Batch 20/164, Loss: 0.1241
Epoch 12, Batch 30/164, Loss: 0.0300
Epoch 12, Batch 40/164, Loss: 0.0759
Epoch 12, Batch 50/164, Loss: 0.0681
Epoch 12, Batch 60/164, Loss: 0.1589
Epoch 12, Batch 70/164, Loss: 0.0633
